epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,34287.8,1.60235,1.73178,1.36461,0.63378,0.52077,0.56721,0.31076,1.50414,2.09733,1.29425,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34633.5,1.61118,1.76467,1.37711,0.63888,0.52048,0.56636,0.31066,1.50325,2.09657,1.29417,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,34977.7,1.59712,1.72864,1.36235,0.63538,0.52661,0.56737,0.31034,1.50366,2.09519,1.29473,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35318.4,1.59854,1.72363,1.37318,0.63232,0.52783,0.56764,0.31062,1.50368,2.09265,1.2949,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,35663.2,1.60453,1.73665,1.36644,0.62786,0.53039,0.56821,0.3109,1.50491,2.08649,1.29617,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,36005.1,1.5797,1.73078,1.35273,0.62794,0.53367,0.56904,0.31082,1.50494,2.08537,1.29635,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36343.5,1.58035,1.71766,1.34603,0.6307,0.5315,0.57032,0.31135,1.50412,2.0842,1.29597,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,36687.9,1.56405,1.69957,1.34573,0.63167,0.52844,0.5697,0.3118,1.50433,2.08187,1.29583,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37028,1.5721,1.69795,1.33251,0.63445,0.53076,0.57209,0.31326,1.50479,2.07914,1.29594,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,37368.8,1.56244,1.65955,1.34138,0.63413,0.53321,0.57221,0.31309,1.50514,2.07547,1.29567,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,37719.1,1.50595,1.57639,1.31626,0.63757,0.53333,0.57312,0.3128,1.50637,2.07325,1.2962,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,38057.4,1.48511,1.55321,1.30462,0.63837,0.53443,0.57392,0.31374,1.50596,2.0714,1.29624,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,38393.6,1.48106,1.54606,1.31095,0.64218,0.53237,0.57456,0.31459,1.50702,2.07008,1.29612,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,38727.3,1.47865,1.54797,1.29736,0.64301,0.531,0.57474,0.31494,1.50762,2.06752,1.29613,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,39068.7,1.45367,1.50076,1.28801,0.64692,0.53117,0.57535,0.31556,1.50822,2.06595,1.29605,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,39422.4,1.44365,1.50683,1.27034,0.64292,0.53211,0.57529,0.3161,1.50742,2.06378,1.29574,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,39779.3,1.45866,1.49432,1.2947,0.6471,0.53211,0.57666,0.31674,1.50845,2.06224,1.29619,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,40129.8,1.45589,1.48982,1.29365,0.65249,0.52661,0.57581,0.31638,1.50957,2.06003,1.29648,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,40486.9,1.44839,1.49109,1.28151,0.65818,0.52171,0.57569,0.31717,1.50998,2.05844,1.2966,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,40843.3,1.43511,1.4676,1.27057,0.65528,0.52317,0.57609,0.31653,1.51133,2.05868,1.29766,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
